Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	gene_length	Entity	Symbol
gene-PA2589	3.407252088152297	2.2110390370390722	5.604319327307431	0.9107411531848626	1.6552820314259564	11.890718267718869	0.16426692273355278	0.30227616592151446	2.857497363477699	0.0	0.0	16.490272888787477	1215	host	gene-PA2589
gene-PA1795	343.98648860676377	159.28114190904034	62.36476821927792	173.02353280340947	174.94104879418597	42.92636211615931	27.419391983398892	24.962372313735482	5.41714165093586	10.421467445852382	7.558823973122296	17.55581556382993	1383	host	cysS
gene-PA2468	521.7970231819938	188.72973052040493	10.93328192466045	13.325511815024184	11.625246636893277	8.889015113430485	3.845555127577392	2.476742573374259	2.112479036583757	1.1944301056716884	1.4134947172130123	16.354571733718725	519	host	foxI
gene-PA4119	5.98485729238647	3.8410243494459144	4.922009074633385	5.827558401187527	5.233521813114408	14.442258169032822	2.225847335924907	0.9101996074216607	2.2643052870445475	1.1522476298208295	0.6817878793992131	21.40289873080031	807	host	aph
gene-PA2246	22.401576228923382	9.3930504545541	4.912877332379891	5.389044648309779	9.141671219011531	26.5409707923737	0.4320006734226551	0.7949470597286583	3.1641460894284843	0.0	0.7939434612917244	15.381496943159199	462	host	bkdR
gene-PA1033	11.821891006790096	6.437604672903122	12.37402281379795	5.6016964620540906	3.4459259112161846	23.63809048548134	0.9326369678563863	1.1441294130674147	4.2693793613199755	0.7241930196771101	0.2856712454180504	18.75568305867569	642	host	gene-PA1033
gene-PA2214	0.782277265137007	0.31239170068055966	4.5034708880149	0.6272962024487575	0.15201569676360824	20.37185311173238	0.0	0.2776005605401664	3.176702224703994	0.0	0.0	22.82809466960929	1323	host	gene-PA2214
gene-PA3210	5.927564844079383	2.556459092785858	7.214838927809438	2.6618053291536965	3.4556145501418163	26.951127266596966	0.9601994349476746	0.37862426968519597	4.144378975895762	0.2130272250321671	1.0083900456818604	17.16190961911136	1455	host	trkH
gene-PA4724	25.81514974952123	9.840338571437629	8.041912300026608	56.1430101191638	9.120941805816495	13.35182264755433	1.8102885362473167	1.041002102025624	3.1076434806886897	0.35142246306326885	0.4158751463909033	19.806729198631587	882	host	gene-PA4724
gene-PA5368	7.802004228401831	3.759067389383991	2730.3388236018836	5.71228134796258	6.031525455218032	32.88804485551678	2.25685307560921	2.4376031521768153	2255.4598018184915	1.8286407812495762	0.8115085821167627	41.68216782658878	2034	host	pstC
gene-PA1496	6.883489033723171	5.821045352118035	4.3290406775636185	2.9222284360553035	3.0686830617808663	17.241822958621235	0.0	0.21553142112361512	3.2170675469101226	0.5456947401792309	0.8610372749220111	12.742691618599219	852	host	gene-PA1496
gene-PA3978	33.304492746898475	19.949538852477378	34.108254922342354	18.140172149501772	21.613641607061872	30.517162326436498	5.453123254679416	4.682802898292315	129.14211552973416	2.258321401980351	3.340636421828567	146.51879791559736	549	host	gene-PA3978
gene-PA3440	61.92025429430617	30.467202115412658	32.73676914749293	29.259748827681946	25.78420087413509	43.1922462609326	5.117546439006838	3.531399438410001	12.299096698571777	1.4901664058740534	1.763470572676811	30.05225698162648	312	host	gene-PA3440
gene-PA2568	93.01046600930444	32.921720955912654	21.557055500718384	29.155435997636737	36.47706064840876	21.722014680246442	3.913417865122876	6.751204808725003	4.478662663345466	1.519385355008839	2.247560533803779	11.127708777097608	408	host	gene-PA2568
gene-PA3091	58.455668637362855	23.82181962502193	7.487020351324771	13.063443415995375	11.592146976329902	14.838417334086154	2.2176034569029626	2.040364119970223	2.030327074049944	1.183854422444387	1.018894108657713	12.063081398940595	1440	host	gene-PA3091
gene-PA0504	20.08642060701136	10.527873144114494	5.3687666044893785	16.10699419388076	19.61400782652547	11.133230949354042	3.7767045772583208	2.9402627056339457	365.9908367545052	0.6767567956807928	0.2669591551068244	14.366512186114242	687	host	bioD
gene-PA4546	14.076571126900381	6.745542824864966	108.9992614929708	7.640963912313679	8.45877173686315	23.778049348920803	1.7540366325786145	1.0374732813407914	964.692129534465	0.5837186674610229	0.6907756668865852	30.42102191515065	1593	host	pilS
gene-PA0925	20.293192583848242	7.09083220588888	12.51699996815906	17.628868277640816	13.802131056154666	31.54155556309757	1.4675316994210785	3.600642564653335	9.853057859360023	4.178309726274307	1.7980484270430233	29.270712218017618	408	host	gene-PA0925
gene-PA5178	801.8127645115927	447.73540500041213	176.83834658211933	324.6386744152275	279.63495660346234	123.06831811334219	59.6930245591003	64.56494681001665	123.90557691633565	21.937426906565975	24.704692771563728	57.686466465668595	438	host	gene-PA5178
gene-PA5205	51.60021191192182	23.843897307714258	28.69519270953084	6.6992017517925	10.027189228830315	33.03190805140391	0.28430813550037987	2.8774365794451864	11.713425427211217	1.7661231477025823	0.5225097993116478	26.150735899801287	702	host	gene-PA5205
gene-PA1439	29.594239184778687	15.701128455896807	11.126222193919165	14.916734696465307	12.816264552143618	14.282968556874373	3.913417865122876	2.7004819234900013	3.5829301306763726	0.7596926775044195	2.6970726405645347	12.821055764916808	408	host	gene-PA1439
gene-PA1503	5.590022957124862	1.913399166668428	5.254049369350717	2.561459493332426	1.3966442140156508	13.208439672387295	0.4620007201881173	0.0	2.114924035468692	0.0	0.0	13.936514494988186	432	host	gene-PA1503
gene-PA0730	28.65317889746014	15.332620564798166	164.9527127586853	11.02874253607583	13.363240320149748	45.7118262783687	1.9892124032019933	1.220151300978871	397.83618215104883	1.5446243143943679	0.4062036313585567	19.56470767511658	903	host	gene-PA0730
gene-PA1695	13.985848942922436	2.420191378380606	2.811626419274167	3.489123201728494	1.4494902113027293	7.109315430336117	1.078834114169009	0.9926095718774057	0.9877266846729458	0.139619194784596	0.6609042866968948	7.202282014600895	1110	host	pscP
gene-PA4506	13.132117423086978	7.228396851858506	9.048640580548458	3.9844925451837745	3.931294824636647	16.237325365582493	0.41066730683388203	1.1335356222056794	4.3238446947359925	0.1594416730564831	0.3773681883917456	24.97910794730123	972	host	gene-PA4506
gene-PA3686	440.81323890470344	396.39252736147597	66.98912945922164	169.91014639105092	220.0490550526881	39.906349648489275	32.95605137341903	40.80728239940446	10.151635370249721	19.133000766777972	19.245777607979022	12.489553973650615	648	host	adk
gene-PA0550	11.240089125389627	9.322426015046176	10.310578085718324	10.746574415635292	16.885743579978694	31.34019792366795	1.750739571239181	1.6108137789238601	6.182574924738551	1.942071506402275	0.45965147758994573	26.591549905388526	798	host	gene-PA0550
gene-PA4637	27.20306102637721	94.80584258073242	24.405906747951715	55.52583159739969	66.3180736461625	28.28437321746627	19.314610753670966	28.960006864093486	6.549442174354659	15.553278042671124	5.916159340593173	14.150242110194245	279	host	gene-PA4637
gene-PA2937	4.465815843694759	5.350086990296187	12.854567389091075	0.8952673957278384	1.3017266460728396	15.32299053917105	0.6459039194862999	1.1885616232836251	5.913574002087215	0.0	0.0	17.248183465387257	309	host	gene-PA2937
gene-PA5043	777.8037398720527	432.6782035179862	180.591445660095	324.36572478380475	294.09537258347655	41.48520515514265	24.739093840827024	25.222591633802754	7.651986459987227	8.306991287686516	6.144085077332944	15.209732599852005	597	host	pilN
gene-PA1816	71.69713655130188	67.76686603245103	27.567805597888782	50.3995673586866	62.42490737948496	19.49692671427588	7.54164738379955	11.895240213591583	2.712582730512071	4.601215569014622	4.7025881938048295	9.989669910789965	741	host	dnaQ
gene-PPLUZ19_gp23	1.564554530274014	0.0	20.587295488068115	0.6272962024487575	3.192329632035773	1567.5315083541104	7514.0551418285495	11954.868139662265	45112.21017553339	49043.81610018367	45986.226062466914	26635.01516304119	441	phage	gp23
gene-PA4733	35.95811317488899	20.15289153252629	11.272619854365471	14.559875014731688	12.453050576981655	19.419825669434452	1.5447702099169247	0.852783765312632	2.357190875444982	0.8796441528998542	0.4731706386955324	13.546775902553609	1938	host	acsB
