Geneid	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	gene_length	Entity	Symbol
gene-phage515_00114	503.4843582562388	528.7122425818056	465.42185451059294	776.0622913018896	865.3194082444768	761.8058977332894	849.0842514007591	616.5176119705268	837.8572595611818	888.0	phage	tmpE
gene-Saur515_RS11170	246.23136160756977	228.9454703293115	255.76241952834573	58.59972010135176	50.93090031665996	64.68369439239787	28.655080864375257	32.66657738034331	31.491344625096755	1000.0	host	gene-Saur515_RS11170
gene-Saur515_RS01200	685.5701532632809	665.3837632305028	706.8938565342472	139.2074798787768	130.59205209399988	139.0699429436554	110.21184947836637	88.32074625055785	75.30538932088355	1000.0	host	yycH
gene-Saur515_RS03260	423.82815470405313	359.41977062451053	516.2544428317534	122.50258229332358	73.91510148520393	130.98448114460567	80.3168853073595	116.34947622504994	81.05598268720556	1000.0	host	sarR
gene-Saur515_RS11135	118.26860675639178	110.42838353825469	118.24009437654675	19.88678283982526	19.588807814099983	22.998646895074796	14.603070055883546	18.551389623404845	12.048862291341367	1000.0	host	gene-Saur515_RS11135
gene-phage515_00175	6044.6803264280115	6299.8971657626635	5776.135284643461	7543.337710382004	7794.679520869854	7723.150296394556	5362.6228611927345	5797.931620089893	5652.552679888543	243.0	phage	gene-phage515_00175
gene-Saur515_RS11695	433.1345368750479	427.29454139802374	464.5926169810775	121.70711097973057	104.21245757101191	110.68098818254745	68.46911148843512	88.72403732932752	66.54258038172618	1000.0	host	gene-Saur515_RS11695
gene-Saur515_RS07415	4.265425161705933	2.813462000974642	4.365788100057111	1.0606284181240138	1.3059205209399989	0.17967692886777184	0.8265888710877478	0.6049366181545058	1.3691888967433372	1000.0	host	gene-Saur515_RS07415
gene-Saur515_RS05270	328.8255033751483	311.94259935806343	347.44396962954505	78.48650294117702	63.99010552605995	76.18301783993526	51.11074519559241	46.78176513728178	44.361720254484126	1000.0	host	polX
gene-Saur515_RS11655	24.8170191226527	23.562744258162628	30.924332375404536	5.833456299682076	4.962497979571996	4.491923221694296	6.337181345006067	3.226328630157364	2.464540014138007	1000.0	host	essA
gene-Saur515_RS04340	350.15262918367796	306.66735810623595	352.17357340460694	64.16801929650283	60.07234396323995	67.91787911201776	48.493213770481205	55.85581440959937	42.171018019694785	1000.0	host	lgt
