Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	gene_length	Entity	Symbol
gene-AUO97_RS17180	0.3345361090177102	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS17180
gene-AUO97_RS08455	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS08455
gene-M172_gp35	2006.6534620035377	2073.4210408788495	11336.557735870212	14400.935383241984	65663.79570005437	67347.81610522131	198.0	phage	gene-M172_gp35
gene-AUO97_RS10170	6.690722180354204	5.892880853024098	2.0018041855066153	1.3359416161811501	0.5768707941576102	0.20644766517268115	1000.0	host	gene-AUO97_RS10170
gene-AUO97_RS03240	11.26271567026291	6.1875248956753035	2.0018041855066153	2.003912424271725	0.9065112479619588	1.4451336562087682	1000.0	host	gene-AUO97_RS03240
gene-AUO97_RS13540	18.622510068652534	12.080405748699402	6.5443598372331655	6.983331175492376	5.274247260869578	6.915996783284819	1000.0	host	gene-AUO97_RS13540
gene-AUO97_RS04845	0.5575601816961836	0.9821468088373498	0.0	0.36434771350395	0.4120505672554358	0.20644766517268115	1000.0	host	gene-AUO97_RS04845
gene-AUO97_RS07725	0.6690722180354204	0.6875027661861448	0.3849623433666568	0.303623094586625	0.2472303403532615	0.10322383258634057	1000.0	host	gene-AUO97_RS07725
gene-AUO97_RS06740	2.453264799463208	2.7500110647445792	0.4619548120399881	0.4857969513386	0.5768707941576102	0.10322383258634057	1000.0	host	gene-AUO97_RS06740
gene-AUO97_RS09775	5.352577744283363	3.2410844691632543	0.7699246867333136	0.7894200459252251	0.5768707941576102	0.6193429955180435	1000.0	host	gene-AUO97_RS09775
gene-AUO97_RS10955	107.27457895834573	69.24135002303316	15.860448546706259	13.905937732067427	11.125365315896767	9.703040263116014	1000.0	host	ndhC
gene-AUO97_RS18940	7.694330507407335	3.9285872353493994	1.3088719674466331	1.8217385675197502	0.6592809076086973	0.7225668281043841	1000.0	host	pgaA
gene-AUO97_RS16235	9.367011052495885	5.892880853024098	2.6947364035665973	2.1253616621063753	1.2361517017663075	1.7548051539677898	1000.0	host	gene-AUO97_RS16235
gene-AUO97_RS00385	20.07216654106261	13.160767238420487	4.465563183053218	3.5827525161221754	3.2964045380434865	1.8580289865541304	1000.0	host	gene-AUO97_RS00385
gene-AUO97_RS02225	13.492956397047644	10.508970854559642	4.003608371013231	4.311447943130076	1.895432609375005	4.232177136039963	1000.0	host	gene-AUO97_RS02225
gene-AUO97_RS09840	80.95773838228587	52.83949831544942	19.556087043026164	15.484777823917875	12.114286677309813	11.767516914842826	1000.0	host	gene-AUO97_RS09840
gene-AUO97_RS11310	8.028866616425045	7.169671704512654	1.3858644361199643	2.06463704318905	1.4009719286684819	0.9290144932770652	1000.0	host	gene-AUO97_RS11310
gene-AUO97_RS14000	21.633335049811926	14.142914047257838	5.004510463766538	1.639564710767775	3.7084551052989227	2.270924316899493	1000.0	host	tssM
gene-AUO97_RS11165	14.942612869457722	9.232180003071088	2.540751466219935	3.1576801837009003	1.0713314748641332	0.9290144932770652	1000.0	host	ccsA
gene-AUO97_RS03495	21.521823013472687	13.062552557536753	3.5416535589732425	2.854057089114275	2.1426629497282663	2.3741481494858334	1000.0	host	gene-AUO97_RS03495
gene-AUO97_RS11205	29.773713702576206	19.34829213409579	5.928420087846514	4.73652027555135	4.36773601290762	3.61283414052192	1000.0	host	ligA
gene-AUO97_RS06915	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS06915
gene-AUO97_RS11470	56.536602423993024	39.08944299172652	8.777141428759775	8.197823553838875	6.098348395380451	5.574086959662392	1000.0	host	cntA
gene-AUO97_RS17205	1.3381444360708408	2.0625082985584346	0.15398493734666271	0.5465215702559251	0.0	0.30967149775902175	1000.0	host	gene-AUO97_RS17205
gene-AUO97_RS08780	8.140378652764282	5.5000221294891585	1.3088719674466331	2.06463704318905	0.7416910210597845	1.0322383258634058	1000.0	host	gspN
gene-AUO97_RS06405	91.9974299798703	59.22345257289219	15.013531391299614	14.452459302323351	8.570651798913065	8.154682774320905	1000.0	host	gene-AUO97_RS06405
gene-AUO97_RS03680	0.11151203633923673	0.09821468088373499	0.0	0.0	0.0	0.0	1000.0	host	cadR
gene-AUO97_RS04175	21.967871158829634	16.107207664932538	2.84872134091326	2.6718832323623003	2.966764084239138	2.5805958146585146	1000.0	host	gene-AUO97_RS04175
gene-AUO97_RS07195	1.5611685087493141	1.0803614897210847	0.5389472807133194	1.0930431405118501	0.494460680706523	0.5161191629317029	1000.0	host	gene-AUO97_RS07195
gene-AUO97_RS18605	5.910137925979547	2.4553670220933745	1.0009020927533077	0.7894200459252251	0.5768707941576102	0.4128953303453623	1000.0	host	gene-AUO97_RS18605
gene-AUO97_RS13185	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS13185
gene-AUO97_RS16925	0.11151203633923673	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS16925
gene-AUO97_RS06695	83.41100318174908	60.40202874349701	16.245410890072915	13.23796692397685	10.218854067934808	9.393368765356993	1000.0	host	gene-AUO97_RS06695
gene-AUO97_RS02835	4.571993489908706	3.7321578735819294	1.6168418421399584	1.032318521594525	0.4120505672554358	0.0	1000.0	host	gene-AUO97_RS02835
gene-AUO97_RS19130	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS19130
gene-AUO97_RS00465	4.460481453569469	2.4553670220933745	0.6159397493866509	0.6679708080905751	0.2472303403532615	0.4128953303453623	1000.0	host	gene-AUO97_RS00465
gene-AUO97_RS11865	54.52938576988676	38.794798949075314	9.855035990186414	9.047968218681426	7.3345000971467575	7.019220615871159	1000.0	host	gene-AUO97_RS11865
gene-AUO97_RS05340	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	host	gene-AUO97_RS05340
