Geneid	bim-phage-35_R1	bim-phage-35_R2	bim-phage-35_R3	bim-phage-35_R4	bim-phage-35_R5	bim-phage-60_R1	bim-phage-60_R2	bim-phage-60_R3	bim-phage-60_R4	bim-phage-60_R5	bim-phage-120_R1	bim-phage-120_R2	bim-phage-120_R3	bim-phage-120_R4	bim-phage-120_R5	gene_length	Entity	Symbol
gene-R0792_RS03340	4.794813971936431	9.834120544881731	9.93849301267498	13.127182600849746	11.252446333667919	8.7017375477577	0.0	6.832617411624269	8.643606155658658	6.30145332226039	9.998591732111366	6.9719507035670105	4.699641209086763	4.846307774756947	11.31597423785875	1000.0	host	pyk
gene-R0792_RS18895	139.0496051861565	152.42886844566684	194.79446304842963	141.11721295913478	205.04457763572654	161.8523183882932	164.34514369934044	169.10728093770066	176.32956557543662	128.12955088596127	138.31385229420724	136.82453255750258	185.63582775892712	137.3120536181135	145.22166938585394	1000.0	host	gene-R0792_RS18895
gene-R0792_RS12615	220.56144270907583	135.2191574921238	200.75755885603462	242.8528781157203	157.53424867135087	147.9295383118809	135.76337957771602	138.36050258539143	134.84025602827506	207.94795963459288	114.98380491928071	115.03718660885568	157.43798050440654	96.92615549513894	143.33567367954416	1000.0	host	gene-R0792_RS12615
gene-R0792_RS07105	906.2198406959856	794.1052339991998	753.3377703607636	932.029964660332	640.1391692042195	654.3706635913791	733.5986124550269	609.811103987466	537.6323028819685	691.0593810078896	748.2279479530006	518.5388335777964	895.2816503310282	747.9468332374888	760.056269642846	1000.0	host	gene-R0792_RS07105
gene-R0792_RS17545	19.179255887745725	29.502361634645194	19.87698602534996	19.690773901274618	28.756251741595793	19.14382260506694	33.345391475228496	42.70385882265168	13.829769849053852	25.20581328904156	29.995775196334098	20.91585211070103	23.498206045433815	17.769795174108804	15.087965650478333	1000.0	host	hpaE
gene-R0792_RS11635	115.07553532647435	226.1847725322798	278.2778043548995	203.47133031317105	255.05545022980618	292.3783816046587	259.61769077142185	271.5965421120647	278.32411821220876	256.25910177192253	261.62981699024743	322.4527200399742	267.87954891794544	337.6261083080673	282.89935594646875	1000.0	host	gene-R0792_RS11635
gene-R0792_RS14930	469.8917692497703	666.2616669157372	622.1496625934539	616.9775822399381	793.9226024310143	837.1071520942908	778.8530723142655	804.5407002187576	833.2436334054946	590.2361278517233	893.2075280686154	989.1455060685696	857.6845206583341	796.4099109850583	852.4700592520259	1000.0	host	ispC
gene-R0792_RS03705	38.35851177549145	36.87795204330649	43.72936925576992	26.254365201699493	67.51467800200751	67.87355287251006	38.10901882883257	70.03432846914876	67.42012801413753	50.41162657808312	64.99084625872388	66.2335316838866	35.24730906815072	56.54025737216438	43.37790124512521	1000.0	host	gene-R0792_RS03705
gene-R0792_RS11560	632.915444295609	442.53542451967786	548.604814299659	587.4414213880261	482.60492053286856	631.746145967209	588.3079781701027	573.9398625764386	575.6641699668666	695.2603498893965	619.9126873909047	561.2420316371444	751.9425934538821	675.2522166161345	658.2125015021172	1000.0	host	lexA
gene-R0792_RS19550	0.0	2.458530136220433	5.963095807604989	3.2817956502124366	7.501630889111946	8.7017375477577	0.0	8.540771764530335	10.372327386790388	4.2009688815069275	4.999295866055683	10.457926055350516	9.399282418173525	4.846307774756947	5.657987118929375	1000.0	host	gene-R0792_RS19550
gene-R0792_RS06365	28.768883831618588	24.585301362204326	21.86468462788496	6.563591300424873	28.756251741595793	20.88417011461848	11.909068384010176	30.74677835230921	22.47337600471251	29.40678217054849	21.663615419574626	30.50228432810567	28.197847254520575	21.00066702394677	28.289935594646874	1000.0	host	gene-R0792_RS06365
gene-R0792_RS19810	86.30665149485576	162.26298899054856	127.21271056223976	91.89027820594822	221.2981112288024	201.88031110797866	130.99975222411194	182.77251576094918	212.63271142920297	147.03391085274245	206.6375624636349	210.90150878290206	185.63582775892712	232.62277318833344	190.48556633728896	1000.0	host	trmB
gene-R0792_RS12445	110.28072135453792	191.76535062519375	204.7329560611046	190.34414771232133	215.04675215454247	210.58204865573634	157.19970266893432	191.31328752547952	216.09015389146643	222.65135071986714	204.971130508283	228.3313855418196	206.78421319981754	235.8536450381714	230.0914761697946	1000.0	host	gene-R0792_RS12445
gene-R0792_RS17335	47.94813971936431	140.13621776456466	117.27421754956478	78.76309560509847	188.79104404265064	170.55405593605093	140.52700693132007	210.10298540744625	183.24445049996353	126.02906644520782	134.98098838350344	218.74495332441495	157.43798050440654	179.31338766600703	158.4236393300225	1000.0	host	gene-R0792_RS17335
gene-R0792_RS24325	460.3021413058974	267.9797848480272	212.6837504712446	275.67083461784466	158.78452048620287	194.9189210697725	164.34514369934044	206.68667670163413	152.12746833959238	216.34989739760675	224.96831397250574	153.38291547847422	223.23295743162123	222.93015763881957	228.20548046348478	1000.0	host	pldB
gene-R0792_RS24125	129.45997724228366	140.13621776456466	162.9912854078697	157.52619121019694	185.04022859809467	187.95753103156633	176.2542120833506	181.0643614080431	167.68595941977796	142.83294197123553	191.63967486546784	162.96934769587887	169.18708352712346	206.77579838962973	215.00351051931625	1000.0	host	grxC
gene-R0792_RS24265	95.89627943872863	152.42886844566684	151.06509379265972	82.04489125531092	171.28723863472277	92.23841800623163	202.45416252817301	184.48067011385527	136.56897725940678	138.6319730897286	93.32018949970609	134.21005104366495	89.2931829726485	90.46441179546301	69.7818411334623	1000.0	host	gene-R0792_RS24265
gene-R0792_RS12240	67.12739560711003	108.17532599369903	95.40953292167983	105.01746080679797	123.77690967034711	153.15058084053553	126.23612487050788	109.3218785859883	143.48386218393372	121.82809756370088	78.32230190153903	104.57926055350515	79.89390055447497	106.61877104465283	105.61575955334833	1000.0	host	gene-R0792_RS12240
gene-R0792_RS12255	239.74069859682157	110.63385612991947	79.50794410139984	65.63591300424874	36.25788263070774	36.54729770058234	61.92715559685292	54.66093929299415	46.67547324055675	84.01937763013854	56.65868648196441	52.289630276752575	51.696053299954386	59.771129222002344	62.237858308223124	1000.0	host	gene-R0792_RS12255
gene-R0792_RS22805	599.351746492054	508.9157381976296	552.5802115047289	649.7955387420624	556.370957609136	522.1042528654621	526.3808225732498	498.7810710485716	625.7970856696868	588.1356434109698	596.5826400159782	508.9524013603918	563.9569450904115	494.3233930252086	601.6326303128235	1000.0	host	gene-R0792_RS22805
