Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	gene_length	Entity	Symbol
gene-SAURSH1000_RS09570	19.15582411547982	5.5200769942731025	24.92123850248278	20.151166882795447	9.38951043528484	23.75248764560292	10.62634741299936	5.415581691216086	18.206201722102495	5.101081726244686	4.365176422194673	3.882607306595675	1.6574056247525664	2.8755167931766077	2.808378999489598	0.9049747549902942	2.9734919091198373	0.8798802898367668	0.0	0.0	0.0	1000.0	host	gene-SAURSH1000_RS09570
gene-SAURSH1000_RS12835	308.6216107493971	384.5653639343594	263.7497741512761	213.02662133240904	394.3594382819633	243.46299836742992	217.8401219664869	288.8310235315246	273.09302583153743	119.02524027904268	257.54540890948573	66.00432421212648	48.06476311782443	255.9209945927181	42.12568499234397	34.38904068963118	58.47867421269014	21.117126956082405	45.37856554352385	58.81789408942608	35.31405670216219	1000.0	host	arcC
gene-SAURSH1000_RS13180	46.825347837839566	46.00064161894252	85.14756488348283	50.37791720698862	71.36027930816479	57.401845143540385	53.131737064996805	70.40256198580911	58.66442777121915	34.00721150829791	53.8371758737343	23.29564383957405	14.36418208118891	12.220946371000583	4.680631665815997	7.239798039922354	4.9558198485330625	1.7597605796735336	6.108653053935902	8.555330049371067	0.0	1000.0	host	vraE
gene-SAURSH1000_RS03000	300.1079111425172	544.6475967682794	348.89733903475894	299.3887651158181	460.08601132895717	265.23611204256594	231.1230562327361	270.7790845608043	436.94884133045986	168.33569696607464	149.8710571620171	106.12459971361513	189.49670976337674	84.10886620041578	41.18955865918077	151.13078408337913	77.31078963711578	35.195211593470674	110.82841969283709	63.095559114111616	27.288134724398056	1000.0	host	mnhG2
gene-SAURSH1000_RS11930	317.13531035627705	250.2434904070473	350.9741089099658	315.2218248094431	127.69734191987384	259.2979901311652	244.4059904989853	128.16876669211402	206.33695285049495	176.83749984314912	106.21929294007037	71.18113395425405	91.15730936139116	132.99265168441812	31.828295327548776	39.818889219572945	60.46100215210336	16.71772550689857	36.65191832361542	81.27563546902513	20.867397142186746	1000.0	host	cntA
gene-SAURSH1000_RS12485	63.85274705159941	329.36459399162845	56.07278663058626	60.453500648386346	63.84867095993692	53.443097202606566	62.42979105137125	54.15581691216086	56.641516468763314	41.658834097664936	66.93270514031832	25.884048710637835	13.259244998020531	15.096463164177191	8.425136998468794	3.619899019961177	8.920475727359513	3.519521159347067	8.726647219908433	8.555330049371067	8.025921977764133	1000.0	host	gene-SAURSH1000_RS12485
gene-SAURSH1000_RS06935	736.4350159951132	329.36459399162845	612.647113186035	703.8514718347839	559.6148219429765	536.4103459965326	723.9199175105815	489.20754610651977	625.0795924588523	436.9926678816281	566.0178760779092	296.3723577368032	117.12333081584802	277.48737054154265	107.65452831376793	61.538283339340005	77.31078963711578	39.59461304265451	50.61455387546891	102.6639605924528	19.26221274663392	1000.0	host	gene-SAURSH1000_RS06935
gene-SAURSH1000_RS05330	1262.1559667199483	318.3244400030822	554.4975566802418	496.5823267546021	336.1444735831973	136.5768039622168	524.6759035168434	236.48040051643574	386.37605876906406	312.0161655886333	298.287055516636	218.7202116048897	95.02458915248047	163.18557801277248	55.23145365662876	163.80043065324324	34.69073893973144	53.67269768004277	66.32251887130408	86.62271674988204	89.8903261509583	1000.0	host	gene-SAURSH1000_RS05330
gene-SAURSH1000_RS07145	1540.9796288452656	2277.9517729700333	1491.120770398553	1190.3582151479882	1361.4790131163018	1508.2829654957852	1215.388485361802	1677.0251303799146	1017.5243851352839	810.2218141851977	1888.6663320028952	516.3867717772248	518.215492005969	1124.3270661320537	255.5624889535534	244.34318384737944	422.2358510950169	122.30336028731058	105.59243136089204	494.0703103511791	115.57327647980352	1000.0	host	gene-SAURSH1000_RS07145
gene-SAURSH1000_RS05125	46.825347837839566	23.92033364185011	49.84247700496556	63.33223877449998	31.92433547996846	61.3605930844742	47.81856335849712	34.29868404436854	38.43531474666082	34.85739179600535	26.19105853316804	25.884048710637835	8.287028123762832	15.096463164177191	6.552884332142395	1.8099495099805885	1.982327939413225	0.8798802898367668	3.490658887963373	4.2776650246855334	1.6051843955528267	1000.0	host	srtB
gene-SAURSH1000_RS09780	1206.8169192752287	393.76549225814796	425.7378244174142	472.11305268263624	570.8822344653183	330.55545306797393	353.32605148222876	478.3763827240876	560.3464307802657	221.0468748039364	512.180700204175	198.01297263637943	81.76534415445994	297.6159880937789	42.12568499234397	136.65118800353443	55.5051823035703	29.036049564613304	87.26647219908432	79.13680295668237	48.1555318665848	1000.0	host	gene-SAURSH1000_RS09780
gene-SAURSH1000_RS11700	14.898974312039861	46.00064161894252	37.38185775372417	24.469274071965902	35.680139654082396	31.669983527470556	18.596107972748882	61.37659250044897	38.43531474666082	22.10468748039364	32.011293762760936	11.647821919787026	11.601839373267964	14.377583965883039	6.552884332142395	1.8099495099805885	7.9293117576529	1.7597605796735336	3.490658887963373	5.347081280856917	1.6051843955528267	1000.0	host	gene-SAURSH1000_RS11700
