Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	gene_length	Entity	Symbol
gene-PA2589	32.27665933902464	36.38258917847018	93.90623181691976	15.577200788584861	27.17441755753598	37.288544377916985	0.7882177354214953	1.6304879669816907	13.828161388864439	0.0	0.0	34.087209201352934	1215	host	gene-PA2589
gene-PA4119	56.69413211036855	63.20395460657887	82.47340991355871	99.67381731357507	85.91762874603847	45.29001297720823	10.680496823834018	4.90964778161773	10.957553047329482	5.392338327081469	3.510434472588151	44.242147566170814	807	host	aph
gene-PA2246	212.20855571923664	154.56239808336105	82.32039802132577	92.1735338869997	150.07689696548277	83.23081456830157	2.0729102782188678	4.287971601477823	15.312113089514964	0.0	4.087908541671916	31.795247275012848	462	host	bkdR
gene-PA1033	111.98794186554109	105.93061550884558	207.33969408175042	95.81070344848048	56.571042158328396	74.12756456184903	4.4751614417622285	6.171473146052194	20.660619881296476	3.3891098364133536	1.4708829799473717	38.77006138388768	642	host	gene-PA1033
gene-PA2214	7.410457501306677	5.140397215168471	75.46036485288195	10.729194420708962	2.49560977569208	63.884849654500215	0.0	1.4973869084525733	15.372875443044785	0.0	0.0	47.188184447836534	1323	host	gene-PA2214
gene-PA3210	56.151404777942346	42.066467107224035	120.89217214575109	45.52717962436916	56.73009850928902	84.5170394662949	4.607417071999875	2.0423122473018083	20.055711010545114	0.9969340274810414	5.192065281793609	35.47555625226376	1455	host	trkH
gene-PA4724	244.54509754312033	161.92251227780682	134.75065152300348	960.2629006534521	149.73658654152476	41.870475787071086	8.68648116586954	5.615200906697149	15.038682498630768	1.644602052137092	2.141285426590051	40.94268944738757	882	host	gene-PA4724
gene-PA1496	65.20680737945558	95.78514810799841	72.53760424238301	49.98142330492239	50.37792550719258	54.069272021535745	0.0	1.1625838496964522	15.568213572526217	2.553765862649499	4.433365601531515	26.340546206901294	852	host	gene-PA1496
gene-PA3440	586.5662129880438	501.33700916782493	548.5388060459496	500.4550205274921	423.2938119539258	135.44816681555093	24.55601406505428	19.048489229641866	59.518478042657925	6.973745240312092	9.079873780059737	62.121323134807426	312	host	gene-PA3440
gene-PA2568	881.0816014421248	541.7260521058978	361.2110111707806	498.6708671566276	598.8362457348186	68.11887138736505	18.77812840268857	36.41622940960946	21.673395365673755	7.110485343063311	11.572388151056527	23.002198906882253	408	host	gene-PA2568
